gender,age,residence,daily allowance,attendance,dismissal,travel,breaks,transportation,foodCampus,Q1,Q2,Q3,,,
Male,22,Silang,₱200 to ₱500,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱200 to ₱500,,,
Female,20,Imus,₱200 to ₱500,3 to 4 times a week,"Evening (e.g. 6:00PM, 7:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Water",₱100 to ₱200,,,
Female,21,Bacoor,₱100 to ₱200,1 to 2 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Orange house,"Rice meal, Water",Below ₱100,,,
Male,20,Bacoor,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water, I bring my own food",₱100 to ₱200,,,
Male,21,Dasma,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Milas' Canteen,Rice meal,₱100 to ₱200,,,
Female,21,Imus,₱200 to ₱500,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,23,Bacoor,₱200 to ₱500,1 to 2 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱200 to ₱500,,,
Male,20,Imus,₱200 to ₱500,3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Milas' Canteen,Rice meal,₱100 to ₱200,,,
Male,22,Dasma,₱100 to ₱200,1 to 2 times a week,Morning (e.g. 10:00AM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Milas' Canteen,Rice meal,₱100 to ₱200,,,
Female,22,Dasma,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200,,,
Male,23,Bacoor,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",No,Orange house,Rice meal,₱100 to ₱200,,,
Female,21,Imus,₱100 to ₱200,3 to 4 times a week,Noon (12:00PM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Milas' Canteen,"Rice meal, Water",₱100 to ₱200,,,
Male,23,Dasma,₱100 to ₱200,1 to 2 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱200 to ₱500,,,
Male,19,Dasma,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",Yes,Food Square,Rice meal,₱100 to ₱200,,,
Male,21,Dasma,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",No,Gate 1,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,23,General Trias,₱200 to ₱500,3 to 4 times a week,Noon (12:00PM),Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Finger foods (e.g., fries, takoyaki, etc), Water",₱100 to ₱200,,,
Male,21,Dasma,₱200 to ₱500,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Milas' Canteen,Rice meal,₱100 to ₱200,,,
Male,20,Imus,₱100 to ₱200,1 to 2 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Finger foods (e.g., fries, takoyaki, etc), Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱100 to ₱200,,,
Male,20,Bacoor,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200,,,
Male,20,Silang,₱200 to ₱500,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,Rice meal,₱100 to ₱200,,,
Male,22,Dasma,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Personal transportation (e.g. car, motorcycle)",No,Gate 1,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",Below ₱100,,,
Male,22,Imus,₱100 to ₱200,3 to 4 times a week,"Late Afternoon (e.g. 4:00PM, 5:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc), Water",₱100 to ₱200,,,
Female,23,Imus,₱100 to ₱200,1 to 2 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,"Rice meal, Water",₱100 to ₱200,,,
Female,20,Naic,Below ₱100,3 to 4 times a week,"Evening (e.g. 6:00PM, 7:00PM)",Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Milas' Canteen,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",Below ₱100,,,
Male,23,Imus,Below ₱100,1 to 2 times a week,Morning (e.g. 10:00AM),Less than 500m (approx. distance from Gate 3 to SHS building),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",No,Waltermart,Rice meal,Below ₱100,,,
Male,21,Bacoor,Below ₱100,1 to 2 times a week,Noon (12:00PM),Around 1km (approx. distance from Gate 3 to Food Square),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Milas' Canteen,"Finger foods (e.g., fries, takoyaki, etc)",Below ₱100,,,
Male,21,Imus,Below ₱100,1 to 2 times a week,Morning (e.g. 10:00AM),Less than 500m (approx. distance from Gate 3 to SHS building),1 break,"Commute (e.g. jeep, bus, tricycle)",Yes,Food Square,Rice meal,Below ₱100,,,
Female,19,Dasma,"₱500 to ₱1,000",1 to 2 times a week,Noon (12:00PM),Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Personal transportation (e.g. car, motorcycle)",No,SM Dasma,"Rice meal, Beverages (e.g., fruit/milk shake, lemonade, coffee, etc)",₱200 to ₱500,,,
Female,20,Dasma,"Above ₱1,000",3 to 4 times a week,"Early Afternoon (e.g. 1:00PM, 3:00PM)",Around 1km (approx. distance from Gate 3 to Food Square),2-3 breaks,"Commute (e.g. jeep, bus, tricycle)",Yes,Food delivery,"Finger foods (e.g., fries, takoyaki, etc), Water, I bring my own food",₱200 to ₱500,,,
